season,date,team_1,team_2,score_1,score_2,location
2005,"Fri, Nov 19, 2004",Seattle SuperSonics,Toronto Raptors,101,94,
2005,"Fri, Nov 19, 2004",San Antonio Spurs,Boston Celtics,92,84,
2005,"Fri, Nov 19, 2004",Utah Jazz,Miami Heat,105,107,
2005,"Fri, Nov 19, 2004",Indiana Pacers,Detroit Pistons,97,82,
2005,"Fri, Nov 19, 2004",New York Knicks,Dallas Mavericks,101,103,
2005,"Fri, Nov 19, 2004",Chicago Bulls,Denver Nuggets,81,99,
2005,"Fri, Nov 19, 2004",Los Angeles Lakers,Phoenix Suns,102,107,
2005,"Fri, Nov 19, 2004",Milwaukee Bucks,Portland Trail Blazers,98,110,
2005,"Fri, Nov 19, 2004",Memphis Grizzlies,Sacramento Kings,105,107,
2005,"Sat, Nov 20, 2004",Houston Rockets,Los Angeles Clippers,91,86,
2005,"Sat, Nov 20, 2004",Utah Jazz,Atlanta Hawks,92,79,
2005,"Sat, Nov 20, 2004",Charlotte Bobcats,Cleveland Cavaliers,84,100,
2005,"Sat, Nov 20, 2004",Orlando Magic,Indiana Pacers,86,83,
2005,"Sat, Nov 20, 2004",Washington Wizards,New Jersey Nets,97,86,
2005,"Sat, Nov 20, 2004",Minnesota Timberwolves,New Orleans Hornets,99,94,
2005,"Sat, Nov 20, 2004",Memphis Grizzlies,Golden State Warriors,100,87,
2005,"Sun, Nov 21, 2004",San Antonio Spurs,Toronto Raptors,91,96,
2005,"Sun, Nov 21, 2004",Phoenix Suns,Los Angeles Clippers,122,111,
2005,"Sun, Nov 21, 2004",Seattle SuperSonics,Boston Celtics,83,102,
2005,"Sun, Nov 21, 2004",Charlotte Bobcats,Detroit Pistons,116,117,
2005,"Sun, Nov 21, 2004",Philadelphia 76ers,Miami Heat,83,93,
2005,"Sun, Nov 21, 2004",Cleveland Cavaliers,New York Knicks,88,98,
2005,"Sun, Nov 21, 2004",Houston Rockets,Portland Trail Blazers,97,93,
2005,"Sun, Nov 21, 2004",Dallas Mavericks,Denver Nuggets,82,110,
2005,"Sun, Nov 21, 2004",Milwaukee Bucks,Sacramento Kings,79,88,
2005,"Sun, Nov 21, 2004",Chicago Bulls,Los Angeles Lakers,93,102,
2005,"Mon, Nov 22, 2004",San Antonio Spurs,Memphis Grizzlies,90,93,
2005,"Mon, Nov 22, 2004",Minnesota Timberwolves,Dallas Mavericks,83,82,
2005,"Mon, Nov 22, 2004",Chicago Bulls,Phoenix Suns,82,100,
2005,"Mon, Nov 22, 2004",New Orleans Hornets,Utah Jazz,76,75,
2005,"Tue, Nov 23, 2004",Detroit Pistons,Charlotte Bobcats,89,91,
2005,"Tue, Nov 23, 2004",Boston Celtics,Indiana Pacers,96,106,
2005,"Tue, Nov 23, 2004",Toronto Raptors,Washington Wizards,86,102,
2005,"Tue, Nov 23, 2004",Portland Trail Blazers,Miami Heat,99,87,
2005,"Tue, Nov 23, 2004",Atlanta Hawks,New York Knicks,88,104,
2005,"Tue, Nov 23, 2004",Seattle SuperSonics,Minnesota Timberwolves,103,92,
2005,"Tue, Nov 23, 2004",New Jersey Nets,Denver Nuggets,88,90,
2005,"Tue, Nov 23, 2004",Houston Rockets,Sacramento Kings,96,102,
2005,"Tue, Nov 23, 2004",New Orleans Hornets,Golden State Warriors,109,115,
2005,"Tue, Nov 23, 2004",Milwaukee Bucks,Los Angeles Lakers,96,100,
2005,"Wed, Nov 24, 2004",Detroit Pistons,Cleveland Cavaliers,76,92,
2005,"Wed, Nov 24, 2004",Portland Trail Blazers,Orlando Magic,89,83,
2005,"Wed, Nov 24, 2004",Boston Celtics,Philadelphia 76ers,97,110,
2005,"Wed, Nov 24, 2004",New York Knicks,Toronto Raptors,91,114,
2005,"Wed, Nov 24, 2004",Miami Heat,Atlanta Hawks,99,93,
2005,"Wed, Nov 24, 2004",Seattle SuperSonics,Memphis Grizzlies,93,84,
2005,"Wed, Nov 24, 2004",Dallas Mavericks,San Antonio Spurs,80,94,
2005,"Wed, Nov 24, 2004",Milwaukee Bucks,Phoenix Suns,104,111,
2005,"Wed, Nov 24, 2004",Chicago Bulls,Utah Jazz,101,99,
2005,"Thu, Nov 25, 2004",Minnesota Timberwolves,Indiana Pacers,102,106,
2005,"Thu, Nov 25, 2004",New Jersey Nets,Los Angeles Clippers,88,101,
2005,"Fri, Nov 26, 2004",Portland Trail Blazers,Dallas Mavericks,83,92,
2005,"Fri, Nov 26, 2004",Washington Wizards,Philadelphia 76ers,114,116,
2005,"Fri, Nov 26, 2004",Orlando Magic,Atlanta Hawks,117,99,
2005,"Fri, Nov 26, 2004",Cleveland Cavaliers,Boston Celtics,98,96,
2005,"Fri, Nov 26, 2004",Miami Heat,Detroit Pistons,77,78,
2005,"Fri, Nov 26, 2004",Charlotte Bobcats,Indiana Pacers,77,82,
2005,"Fri, Nov 26, 2004",Memphis Grizzlies,Minnesota Timberwolves,90,115,
2005,"Fri, Nov 26, 2004",San Antonio Spurs,Denver Nuggets,89,75,
2005,"Fri, Nov 26, 2004",New Orleans Hornets,Phoenix Suns,86,95,
2005,"Fri, Nov 26, 2004",Houston Rockets,Utah Jazz,80,90,
2005,"Fri, Nov 26, 2004",Los Angeles Clippers,Golden State Warriors,98,87,
2005,"Fri, Nov 26, 2004",Sacramento Kings,Los Angeles Lakers,109,106,
2005,"Fri, Nov 26, 2004",New Jersey Nets,Seattle SuperSonics,79,92,
2005,"Sat, Nov 27, 2004",Toronto Raptors,New York Knicks,102,108,
2005,"Sat, Nov 27, 2004",Atlanta Hawks,Charlotte Bobcats,92,107,
2005,"Sat, Nov 27, 2004",Philadelphia 76ers,Orlando Magic,99,105,
2005,"Sat, Nov 27, 2004",Chicago Bulls,Cleveland Cavaliers,74,96,
2005,"Sat, Nov 27, 2004",Dallas Mavericks,Memphis Grizzlies,98,85,
2005,"Sat, Nov 27, 2004",Denver Nuggets,Houston Rockets,82,76,
2005,"Sat, Nov 27, 2004",Utah Jazz,San Antonio Spurs,76,109,
2005,"Sat, Nov 27, 2004",Detroit Pistons,Milwaukee Bucks,90,96,
2005,"Sun, Nov 28, 2004",Washington Wizards,Toronto Raptors,114,109,
2005,"Sun, Nov 28, 2004",Golden State Warriors,Los Angeles Clippers,91,103,
2005,"Sun, Nov 28, 2004",Boston Celtics,Miami Heat,104,106,
2005,"Sun, Nov 28, 2004",New Jersey Nets,Portland Trail Blazers,71,83,
2005,"Sun, Nov 28, 2004",Minnesota Timberwolves,Sacramento Kings,121,110,
2005,"Sun, Nov 28, 2004",Indiana Pacers,Seattle SuperSonics,95,103,
2005,"Sun, Nov 28, 2004",New Orleans Hornets,Los Angeles Lakers,76,89,
2005,"Mon, Nov 29, 2004",Boston Celtics,Orlando Magic,117,101,
2005,"Mon, Nov 29, 2004",New Orleans Hornets,Denver Nuggets,67,76,
2005,"Mon, Nov 29, 2004",Cleveland Cavaliers,Los Angeles Clippers,82,94,
2005,"Tue, Nov 30, 2004",New York Knicks,Atlanta Hawks,110,109,
2005,"Tue, Nov 30, 2004",Toronto Raptors,Miami Heat,94,92,
2005,"Tue, Nov 30, 2004",Charlotte Bobcats,New Jersey Nets,86,99,
2005,"Tue, Nov 30, 2004",Sacramento Kings,Memphis Grizzlies,98,93,
2005,"Tue, Nov 30, 2004",Los Angeles Lakers,Milwaukee Bucks,95,90,
2005,"Tue, Nov 30, 2004",San Antonio Spurs,Dallas Mavericks,107,89,
2005,"Tue, Nov 30, 2004",Detroit Pistons,Houston Rockets,93,72,
2005,"Tue, Nov 30, 2004",Phoenix Suns,Utah Jazz,115,102,
2005,"Tue, Nov 30, 2004",Seattle SuperSonics,Portland Trail Blazers,94,100,
2010,"Tue, Oct 27, 2009",Boston Celtics,Cleveland Cavaliers,95,89,
2010,"Tue, Oct 27, 2009",Washington Wizards,Dallas Mavericks,102,91,
2010,"Tue, Oct 27, 2009",Houston Rockets,Portland Trail Blazers,87,96,
2010,"Tue, Oct 27, 2009",Los Angeles Clippers,Los Angeles Lakers,92,99,
2010,"Wed, Oct 28, 2009",Indiana Pacers,Atlanta Hawks,109,120,
2010,"Wed, Oct 28, 2009",Cleveland Cavaliers,Toronto Raptors,91,101,
2010,"Wed, Oct 28, 2009",Philadelphia 76ers,Orlando Magic,106,120,
2010,"Wed, Oct 28, 2009",Charlotte Bobcats,Boston Celtics,59,92,
2010,"Wed, Oct 28, 2009",New York Knicks,Miami Heat,93,115,
2010,"Wed, Oct 28, 2009",Sacramento Kings,Oklahoma City Thunder,89,102,
2010,"Wed, Oct 28, 2009",New Orleans Hornets,San Antonio Spurs,96,113,
2010,"Wed, Oct 28, 2009",New Jersey Nets,Minnesota Timberwolves,93,95,
2010,"Wed, Oct 28, 2009",Detroit Pistons,Memphis Grizzlies,96,74,
2010,"Wed, Oct 28, 2009",Phoenix Suns,Los Angeles Clippers,109,107,
2010,"Wed, Oct 28, 2009",Houston Rockets,Golden State Warriors,108,107,
2010,"Wed, Oct 28, 2009",Utah Jazz,Denver Nuggets,105,114,
2010,"Thu, Oct 29, 2009",San Antonio Spurs,Chicago Bulls,85,92,
2010,"Thu, Oct 29, 2009",Denver Nuggets,Portland Trail Blazers,97,94,
2010,"Fri, Oct 30, 2009",New York Knicks,Charlotte Bobcats,100,102,
2010,"Fri, Oct 30, 2009",Milwaukee Bucks,Philadelphia 76ers,86,99,
2010,"Fri, Oct 30, 2009",Washington Wizards,Atlanta Hawks,89,100,
2010,"Fri, Oct 30, 2009",Chicago Bulls,Boston Celtics,90,118,
2010,"Fri, Oct 30, 2009",Sacramento Kings,New Orleans Hornets,92,97,
2010,"Fri, Oct 30, 2009",Orlando Magic,New Jersey Nets,95,85,
2010,"Fri, Oct 30, 2009",Cleveland Cavaliers,Minnesota Timberwolves,104,87,
2010,"Fri, Oct 30, 2009",Toronto Raptors,Memphis Grizzlies,107,115,
2010,"Fri, Oct 30, 2009",Miami Heat,Indiana Pacers,96,83,
2010,"Fri, Oct 30, 2009",Oklahoma City Thunder,Detroit Pistons,91,83,
2010,"Fri, Oct 30, 2009",Los Angeles Clippers,Utah Jazz,98,111,
2010,"Fri, Oct 30, 2009",Golden State Warriors,Phoenix Suns,101,123,
2010,"Fri, Oct 30, 2009",Dallas Mavericks,Los Angeles Lakers,94,80,
2010,"Sat, Oct 31, 2009",New Jersey Nets,Washington Wizards,104,123,
2010,"Sat, Oct 31, 2009",Charlotte Bobcats,Cleveland Cavaliers,79,90,
2010,"Sat, Oct 31, 2009",Philadelphia 76ers,New York Knicks,141,127,
2010,"Sat, Oct 31, 2009",Portland Trail Blazers,Houston Rockets,107,111,
2010,"Sat, Oct 31, 2009",Detroit Pistons,Milwaukee Bucks,85,96,
2010,"Sat, Oct 31, 2009",Sacramento Kings,San Antonio Spurs,94,113,
2010,"Sat, Oct 31, 2009",Dallas Mavericks,Los Angeles Clippers,93,84,
